# num_dtau=10 dt=1.000000e-05 ncor=2000
time_lag,MSD,count
0.000000e+00,0.000000e+00,2800000
1.000000e-04,1.508344e-09,2800000
2.000000e-04,6.033386e-09,2799860
3.000000e-04,1.357514e-08,2799720
4.000000e-04,2.413362e-08,2799580
5.000000e-04,3.770885e-08,2799440
6.000000e-04,5.430083e-08,2799300
7.000000e-04,7.390958e-08,2799160
8.000000e-04,9.653511e-08,2799020
9.000000e-04,1.221774e-07,2798880
1.000000e-03,1.508366e-07,2798740
1.100000e-03,1.825126e-07,2798600
1.200000e-03,2.172054e-07,2798460
1.300000e-03,2.549150e-07,2798320
1.400000e-03,2.956416e-07,2798180
1.500000e-03,3.393850e-07,2798040
1.600000e-03,3.861453e-07,2797900
1.700000e-03,4.359225e-07,2797760
1.800000e-03,4.887167e-07,2797620
1.900000e-03,5.445278e-07,2797480
2.000000e-03,6.033558e-07,2797340
2.100000e-03,6.652008e-07,2797200
2.200000e-03,7.300628e-07,2797060
2.300000e-03,7.979418e-07,2796920
2.400000e-03,8.688377e-07,2796780
2.500000e-03,9.427507e-07,2796640
2.600000e-03,1.019681e-06,2796500
2.700000e-03,1.099628e-06,2796360
2.800000e-03,1.182592e-06,2796220
2.900000e-03,1.268573e-06,2796080
3.000000e-03,1.357571e-06,2795940
3.100000e-03,1.449587e-06,2795800
3.200000e-03,1.544619e-06,2795660
3.300000e-03,1.642669e-06,2795520
3.400000e-03,1.743735e-06,2795380
3.500000e-03,1.847819e-06,2795240
3.600000e-03,1.954920e-06,2795100
3.700000e-03,2.065038e-06,2794960
3.800000e-03,2.178174e-06,2794820
3.900000e-03,2.294326e-06,2794680
4.000000e-03,2.413496e-06,2794540
4.100000e-03,2.535683e-06,2794400
4.200000e-03,2.660887e-06,2794260
4.300000e-03,2.789109e-06,2794120
4.400000e-03,2.920347e-06,2793980
4.500000e-03,3.054603e-06,2793840
4.600000e-03,3.191877e-06,2793700
4.700000e-03,3.332167e-06,2793560
4.800000e-03,3.475475e-06,2793420
4.900000e-03,3.621800e-06,2793280
5.000000e-03,3.771142e-06,2793140
5.100000e-03,3.923502e-06,2793000
5.200000e-03,4.078879e-06,2792860
5.300000e-03,4.237274e-06,2792720
5.400000e-03,4.398686e-06,2792580
5.500000e-03,4.563115e-06,2792440
5.600000e-03,4.730561e-06,2792300
5.700000e-03,4.901025e-06,2792160
5.800000e-03,5.074507e-06,2792020
5.900000e-03,5.251006e-06,2791880
6.000000e-03,5.430522e-06,2791740
6.100000e-03,5.613056e-06,2791600
6.200000e-03,5.798607e-06,2791460
6.300000e-03,5.987175e-06,2791320
6.400000e-03,6.178761e-06,2791180
6.500000e-03,6.373365e-06,2791040
6.600000e-03,6.570986e-06,2790900
6.700000e-03,6.771625e-06,2790760
6.800000e-03,6.975281e-06,2790620
6.900000e-03,7.181954e-06,2790480
7.000000e-03,7.391645e-06,2790340
7.100000e-03,7.604354e-06,2790200
7.200000e-03,7.820080e-06,2790060
7.300000e-03,8.038824e-06,2789920
7.400000e-03,8.260585e-06,2789780
7.500000e-03,8.485364e-06,2789640
7.600000e-03,8.713161e-06,2789500
7.700000e-03,8.943975e-06,2789360
7.800000e-03,9.177807e-06,2789220
7.900000e-03,9.414656e-06,2789080
8.000000e-03,9.654523e-06,2788940
8.100000e-03,9.897408e-06,2788800
8.200000e-03,1.014331e-05,2788660
8.300000e-03,1.039223e-05,2788520
8.400000e-03,1.064417e-05,2788380
8.500000e-03,1.089912e-05,2788240
8.600000e-03,1.115710e-05,2788100
8.700000e-03,1.141809e-05,2787960
8.800000e-03,1.168209e-05,2787820
8.900000e-03,1.194912e-05,2787680
9.000000e-03,1.221916e-05,2787540
9.100000e-03,1.249223e-05,2787400
9.200000e-03,1.276831e-05,2787260
9.300000e-03,1.304740e-05,2787120
9.400000e-03,1.332952e-05,2786980
9.500000e-03,1.361465e-05,2786840
9.600000e-03,1.390280e-05,2786700
9.700000e-03,1.419397e-05,2786560
9.800000e-03,1.448815e-05,2786420
9.900000e-03,1.478536e-05,2786280
1.000000e-02,1.508558e-05,2786140
1.010000e-02,1.538882e-05,2786000
1.020000e-02,1.569507e-05,2785860
1.030000e-02,1.600435e-05,2785720
1.040000e-02,1.631664e-05,2785580
1.050000e-02,1.663195e-05,2785440
1.060000e-02,1.695028e-05,2785300
1.070000e-02,1.727163e-05,2785160
1.080000e-02,1.759599e-05,2785020
1.090000e-02,1.792337e-05,2784880
1.100000e-02,1.825377e-05,2784740
1.110000e-02,1.858719e-05,2784600
1.120000e-02,1.892363e-05,2784460
1.130000e-02,1.926308e-05,2784320
1.140000e-02,1.960555e-05,2784180
1.150000e-02,1.995104e-05,2784040
1.160000e-02,2.029955e-05,2783900
1.170000e-02,2.065107e-05,2783760
1.180000e-02,2.100562e-05,2783620
1.190000e-02,2.136318e-05,2783480
1.200000e-02,2.172376e-05,2783340
1.210000e-02,2.208735e-05,2783200
1.220000e-02,2.245397e-05,2783060
1.230000e-02,2.282360e-05,2782920
1.240000e-02,2.319625e-05,2782780
1.250000e-02,2.357192e-05,2782640
1.260000e-02,2.395061e-05,2782500
1.270000e-02,2.433231e-05,2782360
1.280000e-02,2.471703e-05,2782220
1.290000e-02,2.510477e-05,2782080
1.300000e-02,2.549553e-05,2781940
1.310000e-02,2.588931e-05,2781800
1.320000e-02,2.628610e-05,2781660
1.330000e-02,2.668592e-05,2781520
1.340000e-02,2.708875e-05,2781380
1.350000e-02,2.749460e-05,2781240
1.360000e-02,2.790346e-05,2781100
1.370000e-02,2.831535e-05,2780960
1.380000e-02,2.873025e-05,2780820
1.390000e-02,2.914817e-05,2780680
1.400000e-02,2.956911e-05,2780540
1.410000e-02,2.999307e-05,2780400
1.420000e-02,3.042004e-05,2780260
1.430000e-02,3.085003e-05,2780120
1.440000e-02,3.128304e-05,2779980
1.450000e-02,3.171907e-05,2779840
1.460000e-02,3.215812e-05,2779700
1.470000e-02,3.260019e-05,2779560
1.480000e-02,3.304527e-05,2779420
1.490000e-02,3.349337e-05,2779280
1.500000e-02,3.394449e-05,2779140
1.510000e-02,3.439863e-05,2779000
1.520000e-02,3.485578e-05,2778860
1.530000e-02,3.531596e-05,2778720
1.540000e-02,3.577915e-05,2778580
1.550000e-02,3.624536e-05,2778440
1.560000e-02,3.671459e-05,2778300
1.570000e-02,3.718683e-05,2778160
1.580000e-02,3.766210e-05,2778020
1.590000e-02,3.814038e-05,2777880
1.600000e-02,3.862168e-05,2777740
1.610000e-02,3.910600e-05,2777600
1.620000e-02,3.959334e-05,2777460
1.630000e-02,4.008369e-05,2777320
1.640000e-02,4.057707e-05,2777180
1.650000e-02,4.107346e-05,2777040
1.660000e-02,4.157287e-05,2776900
1.670000e-02,4.207529e-05,2776760
1.680000e-02,4.258074e-05,2776620
1.690000e-02,4.308920e-05,2776480
1.700000e-02,4.360068e-05,2776340
1.710000e-02,4.411519e-05,2776200
1.720000e-02,4.463270e-05,2776060
1.730000e-02,4.515324e-05,2775920
1.740000e-02,4.567679e-05,2775780
1.750000e-02,4.620337e-05,2775640
1.760000e-02,4.673296e-05,2775500
1.770000e-02,4.726557e-05,2775360
1.780000e-02,4.780119e-05,2775220
1.790000e-02,4.833984e-05,2775080
1.800000e-02,4.888150e-05,2774940
1.810000e-02,4.942619e-05,2774800
1.820000e-02,4.997388e-05,2774660
1.830000e-02,5.052460e-05,2774520
1.840000e-02,5.107834e-05,2774380
1.850000e-02,5.163509e-05,2774240
1.860000e-02,5.219487e-05,2774100
1.870000e-02,5.275766e-05,2773960
1.880000e-02,5.332347e-05,2773820
1.890000e-02,5.389229e-05,2773680
1.900000e-02,5.446414e-05,2773540
1.910000e-02,5.503900e-05,2773400
1.920000e-02,5.561688e-05,2773260
1.930000e-02,5.619778e-05,2773120
1.940000e-02,5.678170e-05,2772980
1.950000e-02,5.736864e-05,2772840
1.960000e-02,5.795859e-05,2772700
1.970000e-02,5.855156e-05,2772560
1.980000e-02,5.914755e-05,2772420
1.990000e-02,5.974656e-05,2772280
2.000000e-02,6.034859e-05,2772140
2.010000e-02,6.095364e-05,2772000
2.020000e-02,6.156170e-05,2771860
2.030000e-02,6.217278e-05,2771720
2.040000e-02,6.278688e-05,2771580
2.050000e-02,6.340400e-05,2771440
2.060000e-02,6.402413e-05,2771300
2.070000e-02,6.464729e-05,2771160
2.080000e-02,6.527346e-05,2771020
2.090000e-02,6.590265e-05,2770880
2.100000e-02,6.653486e-05,2770740
2.110000e-02,6.717009e-05,2770600
2.120000e-02,6.780833e-05,2770460
2.130000e-02,6.844960e-05,2770320
2.140000e-02,6.909388e-05,2770180
2.150000e-02,6.974118e-05,2770040
2.160000e-02,7.039149e-05,2769900
2.170000e-02,7.104483e-05,2769760
2.180000e-02,7.170118e-05,2769620
2.190000e-02,7.236056e-05,2769480
