time,kinetic_energy,potential_energy,total_energy,temperature
0.000010,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000020,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000030,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000040,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000050,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000060,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000070,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000080,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000090,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000110,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000120,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000130,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000140,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000150,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000160,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000170,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000180,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000190,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.000200,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
